LBP_0,LBP_1,LBP_2,LBP_3,LBP_4,LBP_5,LBP_6,LBP_7,LBP_8,LBP_9,label
0.1245117187424004,0.1085815429621227,0.048950195309512314,0.05535888671537116,0.06634521483970061,0.06213378905870765,0.0571899414027594,0.10601806639977916,0.14605712889733538,0.22485351561127603,0
0.07293701171429828,0.0842285156198591,0.0622558593712002,0.09716796874406934,0.1317749023357071,0.12255859374251961,0.08630371093223244,0.087097167963434,0.0991821289001964,0.15649414061544836,0
0.12493896483612432,0.10284423827497288,0.05303955077801272,0.060607910152550785,0.072875976558052,0.06915283202702925,0.05993652343384177,0.10144042968130856,0.14202880858508124,0.2131347656119913,0
0.11846923827401921,0.10070800780635326,0.0516357421843484,0.06677246093342454,0.07104492187066376,0.07537841796414926,0.06646728515219316,0.10479736327485367,0.13641357421042397,0.2083129882685356,0
0.11853027343026548,0.10076904296259954,0.05139160155936331,0.06652832030843943,0.07116699218315631,0.07556152343288809,0.06646728515219316,0.10485839843109995,0.1361083984291926,0.20861816404976696,0
0.11468505858675018,0.10089111327509209,0.0569458007777743,0.06634521483970061,0.07159423827688023,0.07922363280766458,0.07073974608943238,0.10107421874383092,0.13250732421066239,0.20599365233117714,0
0.11468505858675018,0.10089111327509209,0.0569458007777743,0.06634521483970061,0.07159423827688023,0.07922363280766458,0.07073974608943238,0.10107421874383092,0.13250732421066239,0.20599365233117714,0
0.11962890624269842,0.1035156249936819,0.05755615234023705,0.057739257808975875,0.07427978515171632,0.0695190429645069,0.06256103515243158,0.10375976561866701,0.13696289061664044,0.21447753904940933,0
0.10742187499344348,0.10656738280599565,0.05267333984053507,0.06414794921483472,0.08459472655733674,0.08129882812003791,0.06365966796486452,0.10162353515004739,0.13140869139822944,0.2066040038936399,0
0.10742187499344348,0.10656738280599565,0.05267333984053507,0.06414794921483472,0.08459472655733674,0.08129882812003791,0.06365966796486452,0.10162353515004739,0.13140869139822944,0.2066040038936399,0
0.11395263671179488,0.10186767577503249,0.05169677734059468,0.062377929683692754,0.07330322265177593,0.07519531249541044,0.06597900390222296,0.09875488280647247,0.13934326171024516,0.21752929686172306,0
0.1317749023357071,0.10375976561866701,0.052551269528042524,0.05084228515314683,0.059020996090147645,0.06719970702714845,0.058288574215192346,0.10186767577503249,0.1508789062407911,0.22381591795508934,0
0.13183593749195338,0.10363769530617445,0.0526123046842888,0.05084228515314683,0.059020996090147645,0.06719970702714845,0.058288574215192346,0.10186767577503249,0.1508789062407911,0.22381591795508934,0
0.09588623046289757,0.1035156249936819,0.05230712890305742,0.06970214843324572,0.09515380858794227,0.08770751952589675,0.07171630858937278,0.09960937499392032,0.13269042967940123,0.19171142576954886,0
0.13183593749195338,0.10192871093127877,0.05194091796557978,0.05548095702786371,0.06176757812123,0.06787109374585748,0.05603027343408018,0.10003662108764425,0.15197753905322403,0.22113037108025327,0
0.13183593749195338,0.10198974608752504,0.051818847653087224,0.05548095702786371,0.06182861327747628,0.06799316405835003,0.05590820312158763,0.09985351561890542,0.1520385742094703,0.22125244139274583,0
0.12561035155483335,0.10662841796224191,0.05407714843419939,0.056457519527804104,0.06182861327747628,0.0634765624961257,0.0622558593712002,0.10565185546230152,0.14489746092865616,0.2191162109241262,0
0.12561035155483335,0.10662841796224191,0.05407714843419939,0.056457519527804104,0.06182861327747628,0.0634765624961257,0.0622558593712002,0.10565185546230152,0.14489746092865616,0.2191162109241262,0
0.09875488280647247,0.10021972655638307,0.057006835934020575,0.07568359374538064,0.09417724608800188,0.08715820311968028,0.06982421874573827,0.10345458983743563,0.12286376952375098,0.190856933582101,0
0.11914062499272823,0.1040039062436521,0.05267333984053507,0.06072998046504333,0.06286621093366294,0.07489013671417907,0.0632324218711406,0.1044921874936223,0.15020751952208206,0.20776367186231912,0
0.11914062499272823,0.1040039062436521,0.05267333984053507,0.06072998046504333,0.06286621093366294,0.07489013671417907,0.0632324218711406,0.1044921874936223,0.15020751952208206,0.20776367186231912,0
0.10382080077491328,0.1032714843686968,0.057922363277714696,0.06512451171477511,0.07952880858889594,0.08184814452625438,0.07128906249564886,0.10241699218124896,0.13574218749171496,0.19903564451910183,0
0.11834716796152665,0.1047363281186074,0.04840087890329584,0.060058593746334314,0.08056640624508261,0.0721435546830967,0.061279296871259804,0.10418701171239093,0.14154052733511105,0.2087402343622595,0
0.11840820311777293,0.10467529296236112,0.04840087890329584,0.060058593746334314,0.08056640624508261,0.0721435546830967,0.061279296871259804,0.10412597655614465,0.14160156249135733,0.2087402343622595,0
0.12432861327366158,0.10406494139989837,0.0521240234343186,0.05499267577789351,0.06640624999594688,0.0627441406211704,0.06176757812123,0.1057128906185478,0.14569091795985772,0.22216796873643993,0
0.12298583983624353,0.1035156249936819,0.05517578124663234,0.05731201171525195,0.06848144530832022,0.06811523437084258,0.05963134765261039,0.10345458983743563,0.14208984374132752,0.21923828123661876,0
0.12298583983624353,0.1035156249936819,0.05517578124663234,0.05731201171525195,0.06848144530832022,0.06811523437084258,0.05963134765261039,0.10345458983743563,0.14208984374132752,0.21923828123661876,0
0.12493896483612432,0.10107421874383092,0.05065917968440801,0.061889648433722556,0.0670776367146559,0.0695190429645069,0.05950927734011784,0.10046386718136817,0.14593505858484282,0.21893310545538738,0
0.1196899413989447,0.10540771483731642,0.05072021484065428,0.06011962890258059,0.06988525390198454,0.06732177733964101,0.06317138671489432,0.10528564452482388,0.13916015624150632,0.21923828123661876,0
0.1286010742109008,0.10406494139989837,0.05316162109050527,0.056335449215311556,0.06677246093342454,0.0668334960896708,0.060058593746334314,0.10583496093104035,0.1383056640540585,0.22003173826782033,0
0.1286010742109008,0.1040039062436521,0.053100585934258995,0.056335449215311556,0.0668334960896708,0.0668334960896708,0.060058593746334314,0.10577392577479407,0.13836669921030476,0.2200927734240666,0
0.09545898436917365,0.09973144530641287,0.05651855468405038,0.07427978515171632,0.08819580077586696,0.08679199218220264,0.07250976562057436,0.09655761718160659,0.13507080077300593,0.19488525389435515,0
0.09545898436917365,0.09973144530641287,0.05651855468405038,0.07427978515171632,0.08819580077586696,0.08679199218220264,0.07250976562057436,0.09655761718160659,0.13507080077300593,0.19488525389435515,0
0.12628173827354236,0.10583496093104035,0.05029296874693036,0.05871582030891627,0.07061767577693984,0.06640624999594688,0.0622558593712002,0.10107421874383092,0.14062499999141692,0.21789550779920072,0
0.12628173827354236,0.10583496093104035,0.05029296874693036,0.05871582030891627,0.07061767577693984,0.06640624999594688,0.0622558593712002,0.10107421874383092,0.14062499999141692,0.21789550779920072,0
0.1271972656172365,0.10638427733725682,0.05389404296546057,0.0528564453092739,0.06384277343360334,0.06835937499582767,0.060974121090028435,0.10479736327485367,0.1402587890539393,0.22143554686148464,0
0.11901855468023569,0.10070800780635326,0.051879882809333505,0.06567382812099158,0.08166503905751556,0.07788085937024652,0.060241699215073136,0.09954833983767405,0.13305664061687886,0.21032714842466266,0
0.11901855468023569,0.10070800780635326,0.051879882809333505,0.06567382812099158,0.08166503905751556,0.07788085937024652,0.060241699215073136,0.09954833983767405,0.13305664061687886,0.21032714842466266,0
0.11743164061783254,0.10211181640001758,0.05664062499654293,0.06353759765237198,0.0731201171830371,0.07421874999547004,0.06488037108979001,0.10284423827497288,0.1358642578042075,0.20935058592472225,0
0.11743164061783254,0.10211181640001758,0.05664062499654293,0.06353759765237198,0.0731201171830371,0.07421874999547004,0.06488037108979001,0.10284423827497288,0.1358642578042075,0.20935058592472225,0
0.09753417968154698,0.09777832030653208,0.056152343746572735,0.07403564452673123,0.08233642577622458,0.09088134765070303,0.07800292968273907,0.09722900390031561,0.13262939452315495,0.19342041014444455,0
0.11749267577407882,0.10736083983719721,0.054138183590445664,0.06414794921483472,0.06866455077705905,0.07641601562033594,0.06085205077753589,0.10021972655638307,0.14245605467880518,0.2082519531122893,0
0.11755371093032509,0.09118652343193441,0.04858398437203467,0.06011962890258059,0.06170654296498373,0.07769775390150771,0.05963134765261039,0.09802246093151719,0.18218994139513,0.20330810545634107,0
0.12780761717969924,0.10314941405620426,0.05731201171525195,0.05834960937143862,0.0629882812461555,0.07165527343312651,0.0624999999961853,0.0989379882752113,0.1402587890539393,0.21704101561175287,0
0.10693359374347329,0.09857177733773366,0.059020996090147645,0.0692749023395218,0.08337402343241125,0.08227539061997831,0.07031249999570846,0.10168457030629366,0.13073730467952044,0.19781494139417632,0
0.13574218749171496,0.10284423827497288,0.0528564453092739,0.05206298827807233,0.05761718749648333,0.06243896483993903,0.055969238277833906,0.10754394530593604,0.15039062499082087,0.2225341796739176,0
0.1320190429606922,0.10369873046242073,0.0521240234343186,0.053100585934258995,0.06408691405858845,0.06268310546492413,0.05432128905918449,0.1057128906185478,0.15032958983457462,0.22192382811145484,0
0.11889648436774314,0.09863281249397993,0.044921874997258186,0.05267333984053507,0.05731201171525195,0.07836914062021673,0.06030273437131941,0.10266113280623405,0.17706298827044292,0.20916748045598343,0
0.10925292968083172,0.09973144530641287,0.06011962890258059,0.06915283202702925,0.08471679686982929,0.08148193358877674,0.06799316405835003,0.09887695311896502,0.13018798827330394,0.19848632811288536,0
0.10278320311872662,0.10919189452458546,0.055236816402878613,0.064208984371081,0.08142089843253046,0.07550048827664181,0.06488037108979001,0.10101318358758464,0.14001464842895417,0.20574951170619205,0
0.12976074217958003,0.10681152343098074,0.05249023437179625,0.053466796871736645,0.052429199215549976,0.05938720702762529,0.06475830077729747,0.10577392577479407,0.14685058592853695,0.22827148436106742,0
0.12805175780468434,0.1066894531184882,0.051513671871855855,0.05389404296546057,0.05914306640264019,0.06640624999594688,0.05755615234023705,0.10296630858746543,0.15673828124043346,0.21704101561175287,0
0.08636474608847872,0.09704589843157678,0.05908203124639392,0.08618164061973989,0.11303710936810075,0.10101318358758464,0.07525634765165672,0.09521484374418855,0.11474609374299645,0.1720581054582484,0
0.11663818358663097,0.10223388671251013,0.05352783202798292,0.06512451171477511,0.07513427733916417,0.07293701171429828,0.06402587890234217,0.10021972655638307,0.13867187499153613,0.21148681639334185,0
0.11492919921173528,0.10205078124377132,0.053466796871736645,0.07006835937072337,0.09155273436941207,0.08007812499511242,0.06573486327723786,0.09759521483779326,0.12756347655471414,0.19696044920672848,0
0.12353515624246,0.10034179686887562,0.05358886718422919,0.06176757812123,0.07470703124544024,0.07098388671441748,0.06146240233999863,0.0999145507751517,0.142639160147544,0.21105957029961794,0
0.10949707030581683,0.09796142577527091,0.05798339843396097,0.06860351562081277,0.08123779296379163,0.08227539061997831,0.0670776367146559,0.09985351561890542,0.13189697264819963,0.20361328123757244,0
0.11212158202440664,0.10052490233761445,0.05480957030915469,0.06726074218339473,0.087097167963434,0.07861328124520182,0.0661010742147155,0.09588623046289757,0.1310424804607518,0.2065429687373936,0
0.10510253905608505,0.09954833983767405,0.056823730465281753,0.07159423827688023,0.09271240233809128,0.08117675780754537,0.06518554687102139,0.09826660155650228,0.1298828124920726,0.19970703123781083,0
0.10742187499344348,0.1059570312435329,0.051818847653087224,0.0695190429645069,0.08648681640097126,0.07757568358901515,0.06506347655852884,0.1085815429621227,0.12634277342978864,0.2012329101439677,0
0.10272216796248033,0.0953369140566811,0.06176757812123,0.07366943358925357,0.09118652343193441,0.08532714843229204,0.06945800780826061,0.09680175780659168,0.12390136717993766,0.1998291015503034,0
0.10302734374371171,0.10406494139989837,0.055969238277833906,0.07250976562057436,0.08886718749457598,0.08898925780706853,0.06665039062093198,0.10339355468118935,0.1249999999923706,0.19152832030081005,0
0.12628173827354236,0.10528564452482388,0.05230712890305742,0.05804443359020725,0.0682983398395814,0.06555175780849903,0.05963134765261039,0.1049804687435925,0.14459228514742478,0.2150268554556258,0
0.10491943358734622,0.0984497070252411,0.054138183590445664,0.07080078124567867,0.0885620117133446,0.08477783202607557,0.07061767577693984,0.10034179686887562,0.13140869139822944,0.1959838867067881,0
0.10198974608752504,0.09997558593139798,0.057739257808975875,0.07269287108931317,0.09130859374442696,0.087097167963434,0.07135009765189514,0.09851074218148738,0.12664794921102002,0.19268798826948924,0
0.11267089843062311,0.10015869140013679,0.062377929683692754,0.0678100585896112,0.07659912108907475,0.07800292968273907,0.07165527343312651,0.10089111327509209,0.1286010742109008,0.2012329101439677,0
0.11688232421161607,0.10217285155626386,0.0569458007777743,0.06506347655852884,0.08001708983886614,0.07696533202655241,0.062194824214953925,0.10034179686887562,0.131530761710722,0.20788574217481165,0
0.1264648437422812,0.10144042968130856,0.050231933590684084,0.05200195312182605,0.05914306640264019,0.07183837890186533,0.055786132809095085,0.10278320311872662,0.16638183592734485,0.21392822264319286,0
0.08740234374466538,0.10266113280623405,0.05590820312158763,0.07714843749529122,0.10028076171262934,0.09295654296307639,0.07617187499535083,0.09887695311896502,0.12493896483612432,0.1836547851450406,0
0.1271362304609902,0.1078491210871674,0.0526123046842888,0.05993652343384177,0.06750488280837982,0.06512451171477511,0.06018066405882686,0.10113525390007719,0.14105224608514086,0.21746826170547678,0
0.11468505858675018,0.09960937499392032,0.05755615234023705,0.06579589843348413,0.08068847655757516,0.07733154296403005,0.06103515624627471,0.10235595702500269,0.1320190429606922,0.20892333983099834,0
0.11376953124305605,0.09906005858770385,0.056457519527804104,0.061340332027506085,0.0702514648394622,0.07604980468285828,0.07281494140180572,0.10186767577503249,0.13787841796033456,0.21051025389340147,0
0.11224365233689919,0.100646972650107,0.058105468746453524,0.07073974608943238,0.08996582030700892,0.07714843749529122,0.06481933593354373,0.0991821289001964,0.1310424804607518,0.19610595701928063,0
0.12603759764855726,0.10589599608728661,0.0516357421843484,0.0624999999961853,0.07122802733940259,0.07128906249564886,0.05688476562152803,0.10131835936881602,0.13891601561652123,0.2142944335806705,0
0.12353515624246,0.10107421874383092,0.04907226562200487,0.060607910152550785,0.06652832030843943,0.07354736327676102,0.0629882812461555,0.10174560546253994,0.14825439452220127,0.21264648436202108,0
0.10919189452458546,0.10070800780635326,0.06036376952756568,0.07171630858937278,0.08581542968226225,0.0806274414013289,0.06469726562105119,0.10046386718136817,0.1268920898360051,0.19952392576907202,0
0.12268066405501217,0.10534667968107014,0.04949951171572879,0.053100585934258995,0.0627441406211704,0.07196044921435787,0.06378173827735707,0.10418701171239093,0.15197753905322403,0.21472167967439443,0
0.12268066405501217,0.10534667968107014,0.04949951171572879,0.05303955077801272,0.06268310546492413,0.07208251952685044,0.0639648437460959,0.10394287108740582,0.15197753905322403,0.2147827148306407,0
0.11572265624293684,0.1098022460870482,0.05712890624651313,0.05957031249636412,0.07012939452696965,0.06903076171453669,0.06195068358996883,0.10516357421233133,0.13836669921030476,0.2131347656119913,0
0.10693359374347329,0.09857177733773366,0.05529785155912489,0.07153320312063396,0.08868408202583715,0.08380126952613517,0.06567382812099158,0.09594726561914384,0.13195800780444591,0.20159912108144537,0
0.11956787108645216,0.10559082030605525,0.053466796871736645,0.05749511718399077,0.06860351562081277,0.06475830077729747,0.06207275390246138,0.10650634764974937,0.13952636717898398,0.22241210936142503,0
0.11956787108645216,0.10559082030605525,0.053466796871736645,0.05749511718399077,0.06860351562081277,0.06475830077729747,0.06207275390246138,0.10650634764974937,0.13952636717898398,0.22241210936142503,0
0.12744140624222158,0.1035156249936819,0.057006835934020575,0.055969238277833906,0.06066894530879706,0.06842041015207395,0.06030273437131941,0.10510253905608505,0.1390380859290138,0.2225341796739176,0
0.12744140624222158,0.1035156249936819,0.057006835934020575,0.055969238277833906,0.06066894530879706,0.06842041015207395,0.06030273437131941,0.10510253905608505,0.1390380859290138,0.2225341796739176,0
0.1151123046804741,0.09973144530641287,0.05603027343408018,0.06451416015231237,0.08367919921364263,0.07489013671417907,0.06341552733987942,0.0991821289001964,0.13818359374156594,0.20526123045622185,0
0.11303710936810075,0.10552978514980897,0.05981445312134921,0.061889648433722556,0.07427978515171632,0.07543945312039554,0.061645507808737454,0.10357666014992818,0.1373291015541181,0.20745849608108774,0
0.11303710936810075,0.10552978514980897,0.05981445312134921,0.061889648433722556,0.07427978515171632,0.07543945312039554,0.061645507808737454,0.10357666014992818,0.1373291015541181,0.20745849608108774,0
